New Releases For 8/28/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

JUL130004 	PREVIEWS #300 SEP 2013 CUSTOMER ORDER FORM 	PI
JUN131386 	GFT 2013 SPECIAL ED (UNLEASHED PT5) C CVR CAFARO 	$5.99
JUN131387 	GFT 2013 SPECIAL ED (UNLEASHED PT5) D CVR KLAUBA 	$5.99
JUN131397 	GFT NO TOMORROW #1 A CVR KROME 	$2.99
JUN131398 	GFT NO TOMORROW #1 B CVR SEJIC 	$2.99
JUN131399 	GFT NO TOMORROW #1 C CVR TOLIBAO 	$2.99
JUN131400 	GFT NO TOMORROW #1 D CVR QUALANO 	$2.99
JUN131407 	GFT ROBYN HOOD WANTED #4 A CVR SIQUEIRA 	$2.99
JUN131408 	GFT ROBYN HOOD WANTED #4 B CVR REYES 	$2.99
JUN130728 	GOLD DIGGER GINA VS PENNY ONE SHOT 	$3.99
JUN131345 	HELTER SKELTER FASHION UNFRIENDLY GN 	$16.95
JUL131197 	HENRY AND GLENN FOREVER AND EVER #1 (MR) 	$5.00
FEB130870 	HIGHER EARTH TP VOL 02 	$14.99
MAY131144 	IN CASE WE DIE HC NOVEL 	$26.99
MAY131074 	JIM BUTCHERS DRESDEN FILES GHOUL GOBLIN #6 	$3.99
JUN131369 	JUDGE GN VOL 01 	$12.99
JUN131378 	KINGDOM HEARTS II TP VOL 02 	$19.00
MAR130787 	LAST ZOMBIE #4 THE END [DIG] 	$3.99
MAY130780 	LAST ZOMBIE TP VOL 04 BEFORE THE AFTER 	$14.95
MAR138283 	LOCAL HC NEW PTG 	$39.99
JUN131002 	MARK WAID GREEN HORNET #5 	$3.99
JUN130982 	MASKS TP VOL 01 	$24.99
APR131167 	MEOW MEOW HC 	$20.95
JUN131015 	MISS FURY #5 CVR A TAN 	$3.99
JUN131016 	MISS FURY #5 CVR B BENITEZ 	$3.99
JUN131017 	MISS FURY #5 CVR C WORLEY 	$3.99
JUN131018 	MISS FURY #5 CVR D CHEN 	$3.99
JUN131878 	MR TOAST COMICS #5 SUBTERRA THE WORLD BELOW 	$3.00
JUN131229 	MYSTERIOUS STRANGERS #3 	$3.99
MAY130921 	OCCUPY COMICS #3 	$3.50
JUN130783 	OVERTAKEN #1 ASPEN RESERVED CVR 	$1.00
JUN130782 	OVERTAKEN #1 DIRECT MARKET CVR [DIG] 	$1.00
JUN131370 	PANDORA HEARTS GN VOL 17 	$11.99
JUN130912 	PEANUTS VOL 2 #11 [DIG] 	$3.99
JUN131371 	PUELLA MAGI KAZUMI MAGICA GN VOL 02 INNOCENT MALICE 	$11.99
JUN138340 	QUANTUM & WOODY #1 3RD PTG 	$3.99
JUN130919 	REGULAR SHOW #1 PHOENIX COMIC CON EX CVR 	$9.99
APR130957 	REGULAR SHOW #3 MAIN CVRS [DIG] 	$3.99
JUN130767 	SABRINA THE TEENAGE WITCH MAGIC WITHIN TP VOL 03 	$10.99
MAY131196 	SCIENCE A DISCOVERY IN COMICS HC 	$19.99
JUN131211 	SMURFS GN VOL 16 AEROSMURF 	$5.99
JUN131212 	SMURFS HC VOL 16 AEROSMURF 	$10.99
MAY130949 	STEED AND MRS PEEL ONGOING #11 [DIG] 	$3.99
JUN130904 	SUICIDE RISK #1 PHOENIX COMIC CON EX CVR 	$9.99
APR130980 	TAROT WITCH OF THE BLACK ROSE TP VOL 11 PX ED (MR) 	$34.99
JUN131217 	THEA STILTON HC VOL 02 LIZARD CLUB 	$9.99
MAY131276 	TOMORROWLAND #2 	$3.99
JUL130851 	UBER #0 ENHANCED BREAKDOWN ED (MR) 	$5.99
JUL130852 	UBER #2 WAR CRIMES CVR (MR) 	$5.99
JUN131373 	UMINEKO WHEN THEY CRY GN VOL 04 TURN GOLDEN WITCH PT 2 	$20.99
JUN131028 	UNCANNY #3 	$3.99
JUN130968 	VAMPIRELLA #33 NEVES CVR 	$3.99
JUN130969 	VAMPIRELLA #33 PARRILLO CVR 	$3.99
JUN131230 	WASTELAND #47 (MR) 	$3.99
JUN131291 	WESTWARD #5 	$3.50
APR131168 	YOUNG LOVECRAFT GN VOL 03 (MR) 	$19.95
 
MAGAZINES

MAY131418 	ALTER EGO #120 	$8.95
MAY131419 	BACK ISSUE #67 	$8.95
JUN131437 	COMIC SHOP NEWS #1367 	PI
APR131385 	DC BATMAN AUTOMOBILIA FIG COLL MAG #12 DETECTIVE #27 	$20.00
MAY131428 	DC BATMAN AUTOMOBILIA FIG COLL MAG #14 BRAVE BOLD ANIMATED B 	$20.00
JUN131169 	HEAVY METAL #264 (MR) 	$7.95
MAR131484 	MEGAMI JUN 2013 	$16.60
MAR131485 	NEWTYPE JUN 2013 	$16.00
FEB131299 	VIDEO WATCHDOG #174 (MR) 	$8.95
 
BOOKS

JUN131420 	ANIME ANGELS ORIGINAL CHARACTER ARTBOOK HC 	$60.00
JUN131471 	DC SUPER HEROES WONDER WOMAN YR TP TRIAL OF THE AMAZONS 	$4.95
JUN131453 	DC SUPER PETS CHARACTER ENCYCLOPEDIA YR TP 	$7.95
MAY131432 	DEVIL IS IN DETAILS EXAMINING MATT MURDOCK & DAREDEVIL SC 	$15.99
JUL131484 	HALLOWEEN MAGIC MYSTERY & THE MACABRE SC 	$15.95
JUN131483 	HARRY POTTER & CHAMBER OF SECRETS KIBUISHI CVR ED 	$12.99
JUN131488 	HARRY POTTER & DEATHLY HALLOWS KIBUISHI CVR ED 	$16.99
JUN131485 	HARRY POTTER & GOBLET OF FIRE KIBUISHI CVR ED 	$14.99
JUN131487 	HARRY POTTER & HALF BLOOD PRINCE KIBUISHI CVR ED 	$14.99
JUN131486 	HARRY POTTER & ORDER O/T PHOENIX KIBUISHI CVR ED 	$14.99
JUN131484 	HARRY POTTER & PRISONER OF AZKABAN KIBUISHI CVR ED 	$12.99
JUN131489 	HARRY POTTER BOX SET KIBUISHI CVR ED 	$100.00
MAR131313 	HATSUNE MIKU GRAPHICS CHAR COLL SC VOL 01 	$29.99
APR131267 	HATSUNE MIKU GRAPHICS CHAR COLL SC VOL 02 	$34.99
JUL131500 	MARVEL HEROES & VILLAINS POSTER COLLECTION SC 	$24.99
JUN131309 	MM25 MEGA MAN & MM X OFF COMP WORKS SC 	$59.99
APR131132 	NUDNIK REVEALED HC 	$29.99
JUL131474 	PRIDE AND PREJUDICE AND ZOMBIES SC 	$12.95
JUL131475 	RESURRECTIONIST LOST WORK OF DR SPENCER BLACK HC 	$24.95
JUN131372 	SPICE AND WOLF NOVEL VOL 09 (MR) 	$11.99
 
MERCHANDISE

OCT128362 	(DST) MARVEL MINIMATES SERIES 50 CUSTOM 	$9.99
JUN131831 	ADVENTURE TIME 5-IN BEEMO AF 	PI
MAR132060 	BATMAN 400% BEA DARK KNIGHT RISES VER 	PI
JUN131852 	BATMAN UNLIMITED 6IN VAMPIRE BATMAN AF 	$21.99
MAR138111 	BATMAN UNLIMITED 6IN VAMPIRE BATMAN AF 	$21.99
JUN132060 	BEARBRICK 24PC BMB DS SER 26 	$5.49
JUL132186 	CAPTAIN AMERICA PATRIOT COLOGNE FOR MEN 	$24.99
JUL131957 	CERTAIN SCIENTIFIC RAILGUN MISAKA MIKOTO PVC FIG 	$104.99
MAR138406 	CERTAIN SCIENTIFIC RAILGUN MISAKA MIKOTO PVC FIG 	$104.99
MAY131674 	CHEW CHOG BY GUILLORY T/S LG 	$18.95
MAY131675 	CHEW CHOG BY GUILLORY T/S XL 	$18.95
JUN132057 	DAYDREAM COLL VOL 6 ECO-CHAN PVC FIG DAILY VER 	$119.99
APR138312 	DBZ ROCK THE DRAGON COLL ED DVD 	$99.98
JUN132217 	DC COMICS MYSTERY MINIS 	$6.99
JAN138372 	DC HEROCLIX BATMAN & WONDER WOMAN TAB APP ELITE 2PK 	PI
JUN132230 	DOCTOR WHO 11TH DOCTOR NEW LIFE-SIZE STANDUP 	$34.95
JUN132037 	DOCTOR WHO DONT BLINK WRISTBAND 	$7.99
JUN132232 	DOCTOR WHO RED DALEK LIFE-SIZE STANDUP 	$34.95
JUN132048 	DOCTOR WHO RED DALEK STRESS TOY 	$14.99
JUN132233 	DOCTOR WHO TARDIS LIFE-SIZE STANDUP 	$34.95
JUN132049 	DOCTOR WHO TARDIS STRESS TOY 	$14.99
JUN132231 	DOCTOR WHO WEEPING ANGEL LIFE-SIZE STANDUP 	$34.95
FEB131824 	DOMO FURRY BOWLER HANDBAG 	$45.99
JUN132238 	DR WHO 11TH DOCTOR BOWTIE WATER BOTTLE 	PI
JUN132239 	DR WHO 4TH DOCTOR SCARF WATER BOTTLE 	PI
MAR132063 	EVANGELION 2.0 EVA-01 400% BEA NIGHTCOLOR VER 	PI
JUN131527 	FALLING SKIES SEASON 2 PREMIUM PACK T/C BOX 	$49.99
MAY132251 	FAMILY GUY VINYL STICKER 	$2.60
MAY131986 	FUNNY KNIGHTS ROPE SKIPPING MAID ROPPU PVC FIG (FEB138174) 	$109.99
FEB138174 	FUNNY KNIGHTS ROPE SKIPPING MAID ROPPU PVC FIG (MR) 	$109.99
JUN131532 	GARBAGE PAIL KIDS 2013 CHROME T/C BOX 	$3.99
JUN132450 	HAPPY LIFE DVD 	$29.99
JUN132012 	HIGH SCHOOL DXD RIAS GREMORY PVC FIG 	$99.99
MAR138248 	HIGH SCHOOL DXD RIAS GREMORY PVC FIG 	$99.99
JUL132189 	HULK SMASH COLOGNE FOR MEN 	$24.99
JUN132275 	IRON MAN 3 IRON MAN FLYING LIFE-SIZE STANDUP 	$34.95
JUN132276 	IRON MAN 3 IRON PATRIOT LIFE-SIZE STANDUP 	$34.95
APR132067 	IRON MAN 3 WAR MACHINE LEATHER GUITAR STRAP 	$39.99
JUL132187 	IRON MAN MARK VII COLOGNE FOR MEN 	$24.99
JUL132355 	IRRESPONSIBLE CAPTAIN TYLOR COMP OVA SER DVD 	$29.99
JUN131654 	JOKER CRAZY TOO BY CAPULLO T/S XL 	$18.95
APR131460 	LEGEND OF ZELDA 2014 16 MONTH WALL CAL 	$14.99
APR132190 	LORD RINGS LCG ASSAULT ON OSGILIATH ADV PACK 	$14.95
JUN131667 	MAN OF STEEL SYMBOL B T/S LG 	$18.95
JUN131668 	MAN OF STEEL SYMBOL B T/S XL 	$18.95
JUN131671 	MAN OF STEEL ZOD SYMBOL T/S LG 	$18.95
JUN131905 	MARVEL AVENGERS AF 201301 	$14.99
FEB138169 	MARVEL HEROCLIX IRON MAN 3 MOVIE TAB APP ELITE 2PK 	PI
FEB138168 	MARVEL HEROCLIX IRON MAN 3 MOVIE TAB APP ELITE STARTER 	PI
DEC128009 	MARVEL MINIMATES SERIES 51 CUSTOM 	$9.99
FEB131747 	MEDAL OF HONOR WARFIGHTER PLAY ARTS KAI PREACHER AF 	$79.99
APR131952 	MGR REVENGEANCE DWARF GEKKO RIOBONE 	$30.00
JAN138120 	MGR REVENGEANCE DWARF GEKKO RIOBONE 	$30.00
JUL132345 	MOBILE SUIT GUNDAM UC DVD PT 01 	$29.99
MAY132334 	MTG TCG 2014 CORE SET EVENT DECK 	PI
MAY132083 	MY NEIGHBOR TOTORO 3IN BACKPACK CLIP 6PC 	$10.00
JUL132021 	NASA SPACE SHUTTLE DISCOVERY CUTAWAY MDL KIT 	$199.99
JUN132435 	NURA RISE OF THE YOKAI CLAN BD SET 02 	PI
JUN132436 	NURA RISE OF THE YOKAI CLAN DVD SET 02 	PI
MAR138263 	PACIFIC RIM SHUFFLING THE DECK CARD GAME 	PI
JUN132393 	PATHFINDER TALES KING OF CHAOS 	$9.99
MAR138249 	PET GIRL OF SAKURASOU SHIINA MASHIRO PVC FIG 	$94.99
JUN132019 	PET GIRL OF SAKURASOU SHIINA MASHIRO PVC FIG 	$94.99
JUL132230 	PORTAL COMPANION CUBE STRING LIGHTS 	$27.99
APR131870 	PUELLA MAGI MADOKA MAGICA MAMI TOMOE RAH 	$349.99
JAN138192 	PUELLA MAGI MADOKA MAGICA MAMI TOMOE RAH 	$349.99
JUN132094 	SENRAN KAGURA HIBARI PVC FIG SUKUMIZU VER (MR) 	$99.99
MAR138250 	SENRAN KAGURA HIBARI PVC FIG SUKUMIZU VER (MR) 	$99.99
MAY132270 	SIMPSONS VINYL STICKER 	PI
JUL132169 	STAN LEE SIGNATURE COLOGNE FOR MEN 	$29.99
MAY131493 	STAR TREK SHIPS OF LINE 2014 WALL CALENDAR 	$14.99
JUN131937 	STAR WARS 12IN AF 201301 	$14.99
JUN131941 	STAR WARS ANAKIN TO DARTH VADER AF 	PI
JUN131938 	STAR WARS MISSION SERIES AF 201301 	$14.99
JUN131939 	STAR WARS SAGA LEGENDS AF 201301 	$8.99
JUL132325 	SUPER FRIENDS A DANGEROUS FATE DVD 	$19.97
JUN131751 	SUPER SOLDIER PROGRAM BLK T/S LG 	$16.99
JUN131750 	SUPER SOLDIER PROGRAM BLK T/S MED 	$16.99
JUN131752 	SUPER SOLDIER PROGRAM BLK T/S XL 	$16.99
JUN131753 	SUPER SOLDIER PROGRAM BLK T/S XXL 	$18.99
JUN131681 	SUPERMAN UNCHAINED T/S LG 	$18.95
JUN131680 	SUPERMAN UNCHAINED T/S MED 	$18.95
JUN131682 	SUPERMAN UNCHAINED T/S XL 	$18.95
JUL132252 	SW CHEWBACCA HAT 	$24.99
JUN131940 	SW JEDI FORCE ACTION GEAR BASIC AF 201301 	$11.99
JUN132158 	TETRIS CARD GAME 	PI
JUN131947 	TF PRIME BEAST HUNTER LEGION AF 201304 	$8.99
JUL132188 	THOR WORTHY COLOGNE FOR MEN 	$24.99
JUN131523 	TOPPS 2013 FINEST FOOTBALL T/C BOX 	PI
MAR131514 	TOPPS 2013 MLB CHIPZ DIS 	$1.99
